time,temperature,humidity
2024-09-10 19:17:50.169836,20.3,69.7
2024-09-10 19:18:18.496355,21.5,62.1
2024-09-10 19:20:27.969981,21.7,72.0
2024-09-10 19:22:38.376097,22.3,69.0
2024-09-10 19:23:32.360259,22.3,59.3
2024-09-10 19:23:43.460964,22.2,59.2
2024-09-10 19:23:55.600830,22.2,59.6
2024-09-10 19:24:14.093813,22.1,59.8
2024-09-10 19:24:23.509857,22.1,59.9
2024-09-10 19:26:08.904296,22.1,59.8
2024-09-10 19:32:30.300008,21.9,59.5
2024-09-10 19:33:16.459576,21.9,60.7
2024-09-10 19:33:17.812690,21.9,61.0
2024-09-10 19:33:19.166280,None,None
2024-09-10 19:33:20.519254,None,None
2024-09-10 19:33:21.872288,21.9,60.9
2024-09-10 19:33:23.225298,21.9,60.8
2024-09-10 19:33:24.578238,21.9,60.7
2024-09-10 19:33:25.931696,None,None
2024-09-10 19:33:27.285807,22.0,60.7
2024-09-10 19:33:28.638726,22.0,60.6
2024-09-10 19:33:29.991533,None,None
2024-09-10 19:33:31.344310,21.9,60.9
2024-09-10 19:33:32.697351,22.0,61.0
2024-09-10 19:33:34.050176,22.0,61.1
2024-09-10 19:33:35.402895,None,None
2024-09-10 19:33:36.755758,22.0,60.9
2024-09-10 19:33:38.108785,22.0,60.9
2024-09-10 19:33:39.461710,None,None
2024-09-10 19:33:40.814746,None,None
2024-09-10 19:33:42.167857,22.0,60.7
2024-09-10 19:33:43.520983,None,None
2024-09-10 19:33:44.874563,None,None
2024-09-10 19:33:46.227504,22.0,60.7
2024-09-10 19:33:47.581111,22.0,60.7
2024-09-10 19:33:48.934073,22.0,60.7
2024-09-10 19:33:50.287676,22.0,60.6
2024-09-10 19:33:51.640562,22.0,60.6
2024-09-10 19:33:52.994166,22.0,60.5
2024-09-10 19:33:54.347235,None,None
2024-09-10 19:33:55.700225,22.0,60.3
2024-09-10 19:33:57.053250,22.0,60.3
2024-09-10 19:33:58.406050,22.0,60.2
2024-09-10 19:33:59.759126,None,None
2024-09-10 19:34:01.117337,None,None
2024-09-10 19:34:02.470247,None,None
2024-09-10 19:34:03.823046,22.1,60.2
2024-09-10 19:34:05.176034,22.1,60.3
2024-09-10 19:34:06.528973,22.1,60.3
2024-09-10 19:34:07.881841,22.1,60.3
2024-09-10 19:34:09.234652,None,None
2024-09-10 19:34:10.587666,None,None
2024-09-10 19:34:11.940506,22.1,60.1
2024-09-10 19:34:13.294196,None,None
2024-09-10 19:34:14.646968,22.1,60.1
2024-09-10 19:34:16.000155,22.1,60.1
2024-09-10 19:34:17.353386,22.1,60.1
2024-09-10 19:34:18.706217,None,None
2024-09-10 19:34:20.060038,None,None
2024-09-10 19:34:21.415380,None,None
2024-09-10 19:34:22.768372,22.1,60.0
2024-09-10 19:34:24.121303,None,None
2024-09-10 19:34:25.474085,22.1,60.0
2024-09-10 19:34:26.826974,None,None
2024-09-10 19:34:28.179845,22.1,60.1
2024-09-10 19:34:29.532665,22.1,60.1
2024-09-10 19:34:30.885860,22.1,60.2
2024-09-10 19:34:32.239714,None,None
2024-09-10 19:34:33.592980,None,None
2024-09-10 19:34:34.945916,22.1,60.2
2024-09-10 19:34:36.298943,None,None
2024-09-10 19:34:37.651877,22.1,60.2
2024-09-10 19:34:39.004754,22.1,60.3
2024-09-10 19:34:40.357690,22.1,60.3
2024-09-10 19:34:41.710600,None,None
2024-09-10 19:34:43.063389,None,None
2024-09-10 19:34:44.416161,22.1,60.4
2024-09-10 19:34:45.768987,22.1,60.3
2024-09-10 19:34:47.122024,22.1,60.2
2024-09-10 19:34:48.474974,None,None
2024-09-10 19:34:49.827843,22.1,60.2
2024-09-10 19:34:51.185696,None,None
2024-09-10 19:34:52.538898,22.1,60.1
2024-09-10 19:34:53.891839,22.1,60.2
2024-09-10 19:34:55.244721,22.1,60.2
2024-09-10 19:34:56.599425,None,None
2024-09-10 19:34:57.952504,22.1,60.2
2024-09-10 19:34:59.305508,22.1,60.2
2024-09-10 19:35:00.658444,None,None
2024-09-10 19:35:02.011276,22.2,60.1
2024-09-10 19:35:03.364390,22.2,60.1
2024-09-10 19:35:04.717300,22.1,60.0
2024-09-10 19:35:06.070857,None,None
2024-09-10 19:35:07.424479,22.1,60.0
2024-09-10 19:35:08.777447,22.1,60.0
2024-09-10 19:35:10.130323,22.2,60.0
2024-09-10 19:35:11.483135,None,None
2024-09-10 19:35:12.837192,22.2,60.0
2024-09-10 19:35:14.190214,None,None
2024-09-10 19:35:15.543194,None,None
2024-09-10 19:35:16.896987,None,None
2024-09-10 19:35:18.250495,22.2,60.0
2024-09-10 19:35:19.605403,None,None
2024-09-10 19:35:20.958241,22.2,60.0
2024-09-10 19:35:22.802475,None,None
2024-09-10 19:35:24.155645,None,None
2024-09-10 19:35:25.520627,22.2,59.9
2024-09-10 19:35:26.873544,None,None
2024-09-10 19:35:28.226507,None,None
2024-09-10 19:35:29.581442,None,None
2024-09-10 19:35:30.934390,22.2,59.8
2024-09-10 19:35:32.287535,None,None
2024-09-10 19:35:33.640604,None,None
2024-09-10 19:35:34.994519,None,None
2024-09-10 19:35:36.353556,22.2,59.7
2024-09-10 19:35:37.706967,None,None
2024-09-10 19:35:39.059900,22.2,59.6
2024-09-10 19:35:40.413204,None,None
2024-09-10 19:35:41.766468,None,None
2024-09-10 19:35:43.119334,None,None
2024-09-10 19:35:44.473222,None,None
2024-09-10 19:35:45.826224,22.2,59.5
2024-09-10 19:35:47.180023,22.2,59.4
2024-09-10 19:35:48.532930,22.2,59.4
2024-09-10 19:35:49.886210,None,None
2024-09-10 19:35:51.241634,22.2,59.4
2024-09-10 19:35:52.597471,None,None
2024-09-10 19:35:53.950542,None,None
2024-09-10 19:35:55.304005,None,None
2024-09-10 19:35:56.657810,None,None
2024-09-10 19:35:58.011753,None,None
2024-09-10 19:35:59.365573,None,None
2024-09-10 19:36:00.719808,None,None
2024-09-10 19:36:02.080973,None,None
2024-09-10 19:36:03.434650,None,None
2024-09-10 19:36:04.787542,None,None
2024-09-10 19:36:06.140672,None,None
